brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
MAZDA,2,,2023,,Xăng,Tự động,,,,355000000,62000,Nhập khẩu,,Cần Thơ,17-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-cai-rang-can-tho/132381184.htm
NISSAN,NAVARA,,2013,Bán tải,Xăng,Tự động,,5,,270000000,12345,,,Bình Dương,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thi-xa-ben-cat-binh-duong/133016753.htm
MAZDA,CX 8,Luxury,2020,SUV,Xăng,Tự động,,7,,660000000,60000,Trong nước,,Tp Hồ Chí Minh,10-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/132899236.htm
HONDA,CITY,,2013,,Xăng,Tự động,,5,,225000000,19,,,Hà Nội,11-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/132924345.htm
KIA,SONET,Premium 1.5 AT,2025,SUV,Xăng,Tự động,,5,,555000000,,Trong nước,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/133018240.htm
SUZUKI,SWIFT,,2022,Sedan,Xăng,Tự động,,5,,455000000,40000,Nhập khẩu,,Tp Hồ Chí Minh,17-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132454439.htm?ad_delivery=true&event_source=ad_list
KIA,CARNIVAL,Premium 2.2D 7S,2023,Van/Minibus,Dầu,Tự động,,7,,1010000000,80000,,,Tp Hồ Chí Minh,29-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/132674697.htm
LEXUS,NX,200t,2016,SUV,Xăng,Tự động,2,5,AWD,1099000000,128833,Nhập khẩu,,Long An,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-tan-an-long-an/132888366.htm
VINFAST,VF3,,2024,,Điện,Tự động,,,,209000000,15000,Trong nước,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/132760834.htm
VINFAST,LIMO GREEN,,2026,MPV,Điện,Tự động,,7,,654590000,,Trong nước,,Tp Hồ Chí Minh,09-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/130441612.htm?ad_delivery=true&event_source=ad_list
LEXUS,IS,,2009,Mui trần,Xăng,Tự động,,4,,755000000,52000,Nhập khẩu,,Bình Dương,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thuan-an-binh-duong/131855231.htm
FORD,ECOSPORT,Titanium 1.5L AT,2021,SUV,Xăng,Tự động,,2,,455000000,40000,Trong nước,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/132666712.htm
MAZDA,3,1.5 AT,2016,Sedan,Xăng,Tự động,,5,,295000000,123,Trong nước,,Bình Dương,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thuan-an-binh-duong/132455039.htm
